Upgrade Type,PriceValue,PriceEXP,Amount,Food ID,Spire Icon,SpireBootType,Upgrade ID,Ref ID
AddCustomer,9,0,1,None,Shark_Customer_Icon,None,1,0
AddCheff,22,0,1,None,Shark_Cheff_Icon,None,2,0
AddCustomer,130,0,1,None,Shark_Customer_Icon,None,3,0
ReduceTime,200,0,0.25,FriedChicken,FriedChicken_Icon,Reduce,4,0
AddCheff,420,0,1,None,Shark_Cheff_Icon,None,5,0
AddCustomer,970,0,1,None,Shark_Customer_Icon,None,6,0
IncreasePrice,9.7,3,3,FriedChicken,FriedChicken_Icon,Increase,7,0
ReduceTime,16,3,0.25,Lemonade,Lemonade_Icon,Reduce,8,0
AddFloor,59,3,0,None,Floor_Icon,None,9,1
IncreaseSpeedCheff,69,3,1.05,None,Speed_Icon,None,10,0
AddCustomer,93,3,1,None,Shark_Customer_Icon,None,11,0
ReduceTime,260,3,0.25,FriedChicken,FriedChicken_Icon,Reduce,12,0
IncreasePrice,320,3,3,Lemonade,Lemonade_Icon,Increase,13,0
ReduceTime,690,3,0.25,Pizza,Pizza_Icon,Reduce,14,0
IncreasePrice,3,6,5,FriedChicken,FriedChicken_Icon,Increase,15,0
AddTable,4.1,6,4,None,Table_Icon,None,16,2
AddCheff,9.4,6,1,None,Shark_Cheff_Icon,None,17,0
ReduceTime,13,6,0.25,Lemonade,Lemonade_Icon,Reduce,18,0
IncreasePrice,24,6,3,Pizza,Pizza_Icon,Increase,19,0
ReduceTime,41,6,0.25,MilkTea,MilkTea_Icon,Reduce,20,0
IncreasePrice,120,6,5,Lemonade,Lemonade_Icon,Increase,21,0
IncreasePrice,250,6,10,FriedChicken,FriedChicken_Icon,Increase,22,0
IncreaseSpeedCheff,290,6,1.05,None,Speed_Icon,None,23,0
ReduceTime,660,6,0.25,Pizza,Pizza_Icon,Reduce,24,0
AddWaiter,830,6,1,None,Waiter_Icon,None,25,0
IncreasePrice,1.2,9,3,MilkTea,MilkTea_Icon,Increase,26,0
AddTable,3.4,9,4,None,Table_Icon,None,27,3
IncreasePrice,7.2,9,5,Pizza,Pizza_Icon,Increase,28,0
IncreasePrice,13,9,10,Lemonade,Lemonade_Icon,Increase,29,0
ReduceTime,16,9,0.25,MilkTea,MilkTea_Icon,Reduce,30,0
IncreasePrice,34,9,200,FriedChicken,FriedChicken_Icon,Increase,31,0
AddTotalBoot,89,9,5,None,BootAll_Icon,None,32,0
AddCheff,170,9,1,None,Shark_Cheff_Icon,None,33,0
IncreaseSpeedCheff,290,9,1.05,None,Speed_Icon,None,34,0
IncreasePrice,360,9,5,MilkTea,Pizza_Icon,Increase,35,0
IncreasePrice,610,9,10,Pizza,Pizza_Icon,Increase,36,0
IncreasePrice,2,12,20,Lemonade,Lemonade_Icon,Increase,37,0
AddWaiter,3.9,12,1,None,Waiter_Icon,None,38,0
IncreasePrice,30,12,10,MilkTea,MilkTea_Icon,Increase,39,0
IncreasePrice,110,12,20,Pizza,Pizza_Icon,Increase,40,0
IncreasePrice,5.1,15,20,MilkTea,MilkTea_Icon,Increase,41,0
