Upgrade Type,PriceValue,PriceEXP,Amount,Food ID,Spire Icon,SpireBootType,Upgrade ID,Ref ID
AddCustomer,260,0,1,None,Shark_Customer_Icon,None,1,0
AddCheff,320,0,1,None,Shark_Cheff_Icon,None,2,0
ReduceTime,620,0,0.25,Burger,Burger_Icon,Reduce,3,0
AddCustomer,970,0,1,None,Shark_Customer_Icon,None,4,0
AddCheff,2.5,3,1,None,Shark_Cheff_Icon,None,5,0
IncreasePrice,9.7,3,3,Burger,Burger_Icon,Increase,6,0
ReduceTime,16,3,0.25,SHotdog,SHotdog_Icon,Reduce,7,0
AddFloor,18,3,0,None,Floor_Icon,None,8,1
IncreaseSpeedCheff,64,3,1.05,None,Speed_Icon,None,9,0
ReduceTime,260,3,0.25,Burger,Burger_Icon,Reduce,10,0
IncreasePrice,320,3,3,SHotdog,SHotdog_Icon,Increase,11,0
ReduceTime,690,3,0.25,CupcakeStrawBerry,CupcakeStrawBerry_Icon,None,12,0
AddWaiter,1.6,6,1,None,Waiter_Icon,None,13,0
IncreasePrice,3,6,5,Burger,Burger_Icon,Increase,14,0
IncreaseSpeedWaiter,3.2,6,1.05,None,Speed_Icon,None,15,0
AddCustomer,4.1,6,3,None,Shark_Customer_Icon,None,16,0
ReduceTime,13,6,0.25,SHotdog,SHotdog_Icon,Reduce,17,0
IncreasePrice,24,6,3,CupcakeStrawBerry,CupcakeStrawBerry_Icon,Increase,18,0
AddCheff,38,6,1,None,Shark_Cheff_Icon,None,19,0
ReduceTime,41,6,0.25,CreamOrange,Pizza_Icon,Reduce,20,0
AddWaiter,41,6,1,None,Waiter_Icon,None,21,0
IncreasePrice,150,6,5,SHotdog,SHotdog_Icon,Increase,22,0
IncreasePrice,170,6,10,Burger,Burger_Icon,Increase,23,0
ReduceTime,650,6,0.25,CupcakeStrawBerry,CupcakeStrawBerry_Icon,Reduce,24,0
IncreasePrice,1.2,9,3,CreamOrange,Pizza_Icon,Increase,25,0
ReduceTime,2.1,9,0.25,Croiossants,Croiossants_Icon,Reduce,26,0
IncreaseSpeedCheff,2.2,9,1.05,None,Speed_Icon,None,27,0
IncreasePrice,4.8,9,5,CupcakeStrawBerry,SHotdog_Icon,Increase,28,0
IncreasePrice,13,9,10,Burger,Burger_Icon,Increase,29,0
AddTable,20,9,4,None,Shark_Customer_Icon,None,30,2
ReduceTime,34,9,0.25,CreamOrange,Pizza_Icon,Reduce,31,0
IncreasePrice,39,9,20,Burger,Burger_Icon,Increase,32,0
IncreasePrice,46,9,3,Croiossants,Croiossants_Icon,Increase,33,0
IncreaseSpeedWaiter,160,9,1.05,None,Speed_Icon,None,34,0
AddCheff,270,9,1,None,Shark_Cheff_Icon,None,35,0
IncreasePrice,370,9,5,CreamOrange,Pizza_Icon,Increase,36,0
IncreasePrice,620,9,10,CupcakeStrawBerry,CupcakeStrawBerry_Icon,Increase,37,0
AddWaiter,620,9,1,None,Waiter_Icon,None,38,0
ReduceTime,1.4,12,0.25,CreamOrange,Pizza_Icon,Reduce,39,0
IncreasePrice,2,12,20,Burger,Burger_Icon,Increase,40,0
AddTable,2.9,12,4,None,Shark_Customer_Icon,None,41,3
IncreaseSpeedCheff,3.6,12,1.05,None,Speed_Icon,None,42,0
AddTotalBoot,4.2,12,5,None,BootAll_Icon,None,43,0
IncreasePrice,18,12,5,Croiossants,Croiossants_Icon,Increase,44,0
IncreasePrice,31,12,10,CupcakeStrawBerry,CupcakeStrawBerry_Icon,Increase,45,0
IncreasePrice,78,12,20,SHotdog,SHotdog_Icon,Increase,46,0
IncreaseSpeedWaiter,170,12,1.05,None,Speed_Icon,None,47,0
AddCheff,1.1,15,2,None,Shark_Cheff_Icon,None,48,0
IncreasePrice,1.6,15,10,Croiossants,Croiossants_Icon,Increase,49,0
