Upgrade Type,PriceValue,PriceEXP,Amount,Food ID,Spire Icon,SpireBootType,Upgrade ID,Ref ID
AddCustomer,5,0,1,None,Shark_Customer_Icon,None,1,0
AddCheff,7,0,1,None,Shark_Cheff_Icon,None,2,0
AddCustomer,30,0,1,None,Shark_Customer_Icon,None,3,0
ReduceTime,110,0,0.25,CupcakeIceCream,CupcakeIceCream_Icon,Reduce,4,0
AddCustomer,260,0,1,None,Shark_Customer_Icon,None,5,0
AddCheff,420,0,1,None,Shark_Cheff_Icon,None,6,0
AddCustomer,3,3,1,None,Shark_Customer_Icon,None,7,0
IncreasePrice,9.7,3,3,CupcakeIceCream,CupcakeIceCream_Icon,Increase,8,0
IncreaseSpeedCheff,12,3,1.05,None,Speed_Icon,None,9,0
AddCheff,16,3,1,None,Shark_Cheff_Icon,None,10,0
ReduceTime,16,3,0.25,CupcakeSocola,CupcakeSocola_Icon,Reduce,11,0
AddCustomer,110,3,1,None,Shark_Customer_Icon,None,12,0
AddCheff,260,3,1,None,Shark_Cheff_Icon,None,13,0
ReduceTime,260,3,0.25,CupcakeIceCream,CupcakeIceCream_Icon,Reduce,14,0
AddCustomer,320,3,1,None,Shark_Customer_Icon,None,15,0
IncreasePrice,470,3,3,CupcakeSocola,CupcakeSocola_Icon,Increase,16,0
IncreaseSpeedCheff,640,3,1.05,None,Speed_Icon,None,17,0
ReduceTime,810,3,0.25,DonutSocola,Pizza_Icon,Reduce,18,0
AddCheff,1.3,6,1,None,Shark_Cheff_Icon,None,19,0
AddTotalBoot,4.8,6,5,None,BootAll_Icon,None,20,0
ReduceTime,14,6,0.25,CupcakeSocola,CupcakeSocola_Icon,Reduce,21,0
IncreasePrice,25,6,3,DonutSocola,DonutSocola_Icon,Increase,22,0
ReduceTime,610,6,0.25,DonutSocola,DonutSocola_Icon,Reduce,23,0
