Upgrade Type,PriceValue,PriceEXP,Amount,Food ID,Spire Icon,SpireBootType,Upgrade ID,Ref ID
ReduceTime,620,0,0.25,Fries,Fries_Icon,Reduce,1,0
AddCheff,9.2,3,1,None,Shark_Cheff_Icon,None,2,0
IncreasePrice,9.7,3,3,Fries,Fries_Icon,Increase,3,0
ReduceTime,16,3,0.25,IceCreamMatcha,IceCreamMatcha_Icon,Reduce,4,0
AddTable,29,3,3,None,Table_Icon,None,5,1
AddCheff,29,3,1,None,Shark_Cheff_Icon,None,6,0
IncreaseSpeedCheff,64,3,1.05,None,Speed_Icon,None,7,0
ReduceTime,260,3,0.25,Fries,Fries_Icon,Reduce,8,0
AddCheff,310,3,1,None,Shark_Cheff_Icon,None,9,0
IncreasePrice,470,3,3,IceCreamMatcha,IceCreamMatcha_Icon,Increase,10,0
ReduceTime,810,3,0.25,Burger,Burger_Icon,Reduce,11,0
AddTable,970,3,3,None,Table_Icon,None,12,2
IncreasePrice,3,6,1,Fries,Fries_Icon,Increase,13,0
ReduceTime,13,6,0.25,IceCreamMatcha,IceCreamMatcha_Icon,Reduce,14,0
AddCheff,41,6,1,None,Shark_Cheff_Icon,None,15,0
IncreasePrice,24,6,3,Burger,Burger_Icon,Increase,16,0
ReduceTime,41,6,0.25,Lemonade,Lemonade_Icon,Reduce,17,0
AddTable,60,6,3,None,Shark_Customer_Icon,None,18,3
IncreasePrice,120,6,5,Burger,Burger_Icon,Increase,19,0
IncreasePrice,250,6,10,Fries,Fries_Icon,Increase,20,0
AddFloor,600,6,0,None,Floor_Icon,None,21,4
AddCheff,700,6,1,None,Shark_Cheff_Icon,None,22,0
AddWaiter,950,6,1,None,Waiter_Icon,None,23,0
ReduceTime,650,6,0.25,Burger,Burger_Icon,Reduce,24,0
IncreasePrice,1.2,9,3,Lemonade,Lemonade_Icon,Increase,25,0
ReduceTime,2.1,9,0.25,SHotdog,SHotdog_Icon,Reduce,26,0
AddTable,3.5,9,4,None,Table_Icon,None,27,5
IncreasePrice,4.8,9,5,Burger,Burger_Icon,Increase,28,0
IncreaseSpeedWaiter,7.7,9,1.05,None,Speed_Icon,None,29,0
IncreasePrice,13,9,10,IceCreamMatcha,IceCreamMatcha_Icon,Increase,30,0
AddWaiter,25,9,1,None,Waiter_Icon,None,31,0
ReduceTime,34,9,0.25,Lemonade,Lemonade_Icon,Reduce,32,0
IncreasePrice,39,9,20,Fries,Fries_Icon,Increase,33,0
AddCheff,60,9,1,None,Shark_Cheff_Icon,None,34,0
IncreasePrice,70,9,3,SHotdog,SHotdog_Icon,Increase,35,0
ReduceTime,88,9,0.25,CupcakeStrawBerryS,CupcakeStrawBerryS_Icon,Reduce,36,0
AddTable,250,9,4,None,Table_Icon,None,37,6
IncreasePrice,360,9,5,Lemonade,Lemonade_Icon,Increase,38,0
IncreasePrice,620,9,10,Burger,Burger_Icon,Increase,39,0
AddCheff,700,9,1,None,Shark_Cheff_Icon,None,40,0
ReduceTime,1.7,12,0.25,SHotdog,SHotdog_Icon,Reduce,41,0
IncreasePrice,1.9,12,20,IceCreamMatcha,IceCreamMatcha_Icon,Increase,42,0
AddTable,33,12,4,None,Table_Icon,None,43,7
IncreasePrice,3.1,12,3,CupcakeStrawBerryS,CupcakeStrawBerryS_Icon,Increase,44,0
IncreaseSpeedCheff,3.1,12,1.05,None,Speed_Icon,None,45,0
ReduceTime,3.6,12,0.25,Donut,Donut_Icon,Reduce,46,0
ReduceTime,15,12,0.25,Fries,Fries_Icon,Reduce,47,0
IncreasePrice,19,12,5,SHotdog,SHotdog_Icon,Increase,48,0
AddCheff,22,12,1,None,Shark_Cheff_Icon,None,49,0
IncreasePrice,24,12,50,Fries,Fries_Icon,Increase,50,0
IncreasePrice,31,12,10,Lemonade,Lemonade_Icon,Increase,51,0
AddWaiter,60,12,1,None,Waiter_Icon,None,52,0
ReduceTime,83,12,0.25,CupcakeStrawBerryS,CupcakeStrawBerryS_Icon,Reduce,53,0
IncreasePrice,96,12,20,Burger,Burger_Icon,Increase,54,0
IncreasePrice,150,12,3,Donut,Donut_Icon,Increase,55,0
AddCheff,230,12,1,None,Shark_Cheff_Icon,None,56,0
ReduceTime,260,12,0.25,FriedChicken,FriedChicken_Icon,Reduce,57,0
